Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
SMPSO,ZDT1,16,GD,0.0006247465274403322
SMPSO,ZDT1,16,EP,0.005727127109004859
SMPSO,ZDT1,16,HV,0.6616917818199113
SMPSO,ZDT1,19,Time,6.777422904968262
SMPSO,ZDT1,9,Time,4.481547832489014
SMPSO,ZDT1,24,GD,0.0005728422815771669
SMPSO,ZDT1,24,EP,0.005198807056514071
SMPSO,ZDT1,24,HV,0.6619083914206075
SMPSO,ZDT1,1,GD,0.0005753046908476428
SMPSO,ZDT1,1,EP,0.005588407797410655
SMPSO,ZDT1,1,HV,0.6618751816431463
SMPSO,ZDT1,21,GD,0.0005799793028981646
SMPSO,ZDT1,21,EP,0.0054966297338358006
SMPSO,ZDT1,21,HV,0.6618368239847476
SMPSO,ZDT1,18,GD,0.0006326912424462018
SMPSO,ZDT1,18,EP,0.005339479412958009
SMPSO,ZDT1,18,HV,0.6619348522832035
